sid,name,country,n,bias,rmse,offset_km,elev,cell_lat,cell_lon,water_km,near_water
02987099999,PORVOO KALLBADAGRUND,Finland,2485,-0.013004003022038595,0.9370613971800942,1.835534242447333,23.3,59.980740029177575,25.56786119848732,0.0,True
02991099999,PORVOO EMASALO,Finland,2904,-0.07522382499757886,0.780153462011555,3.3587813556224364,27.1,60.21717224252934,25.681738944171485,0.0,True
02992099999,LOVIISA ORRENGRUND,Finland,2915,0.16764861798818076,1.0546228910772446,1.9182601531477912,3.5,60.27744977159153,26.417694694657317,0.0,True
22717099999,SUOYARVI,Russia,741,-0.29156536148627277,1.2828201461344402,1.985838591191506,156.0,62.11295410542733,32.35810568135423,76.81890887582466,False
22721099999,MEDVEZEGORSK,Russia,2900,0.15172228582974137,0.745934949409688,2.25471505205184,81.0,62.9037140951776,34.401041874221306,4.558061128954848,True
22727099999,KONDOPOGA,Russia,737,-0.040437439047659424,0.8571876212440704,2.645642550923499,38.0,62.15929434099524,34.253133243118754,0.6789551618738016,True
22802099999,SORTAVALA,Russia,2896,0.14316350399459923,0.8536118514869252,2.2506780108344566,19.0,61.71012309694311,30.67787174219427,2.292095641331508,True
22805099999,VALAAM,Russia,2197,-0.6011944610637374,1.4863350539196636,0.9429832613620712,16.0,61.37529469131688,30.88254342684857,0.0,True
22820099999,PETROZAVODSK,Russia,2917,-0.43416356769047826,0.8633983274334368,3.203111491688335,110.0,61.79218509965997,34.29505907008556,4.542071993509837,True
22831099999,PUDOZ,Russia,2912,-0.0970999288034963,0.8631424863932902,1.341596265840844,44.0,61.78899251026474,36.591902702124,32.02064346870421,False
22837099999,VYTEGRA,Russia,1430,0.2113439621291794,0.7798838210406355,2.7095608203598585,56.0,61.0252756710369,36.496225008149,15.51525329007922,False
22845099999,KARGOPOL',Russia,2912,-0.08385162772713127,0.6722500580464392,3.4484978602965928,126.0,61.47283434375575,38.96125570030125,3.5715414191953485,True
22892099999,VYBORG,Russia,2912,-0.1461246092240889,0.9072976718099048,2.111979876876233,13.0,60.730002269521954,28.70571284569488,11.2884455512487,False
22912099999,OLONEC,Russia,2198,0.08844169637525591,0.9324492526031666,2.2425378152371365,12.0,60.994351958901895,32.9496437007104,15.434201275375278,False
22913099999,LODEJNOE POLE,Russia,2899,-0.10207393629133968,0.9576816735380989,3.175787619434664,23.0,60.72847423148177,33.60226289950441,37.51278594968908,False
22917099999,NOVAJA LADOGA,Russia,2900,-0.024870580212823276,0.7576167541291773,1.5200304717005282,9.0,60.12154391762488,32.34238657151485,3.1134522407603717,True
22925099999,VINNICY,Russia,2889,0.018416064385519435,0.7046988278561601,1.5094709436065674,111.0,60.61983067187725,34.78708626465166,46.25089406361719,False
22939099999,BELOZERSK,Russia,2906,-0.1946477355747,0.730755413169768,2.9154814487009344,131.0,60.02752234729699,37.79711305193453,5.752989498007535,True
26038099999,LENNART MERI TALLINN,Estonia,2909,-0.27548263722901983,1.036893930857331,1.424120906269217,39.9,59.41978616357551,24.81208501254838,9.03338054071374,True
26038199999,PARNU,Estonia,897,-0.09552121029516793,0.5654420256105277,0.8935722714673477,47.0,58.40906751328199,24.466201975294183,4.1305693581379215,True
26045099999,KUNDA,Estonia,2911,0.30063935951120213,1.0897408709412664,1.2781288768751138,3.0,59.51014078030938,26.532240894700976,4.942744475368554,True
26046099999,JOHVI,Estonia,2909,-0.34226260114757007,0.8567786912277578,3.150930877518272,75.0,59.34056764602516,27.435721081952494,11.59457934649267,False
26058099999,NARVA-JOESUU,Estonia,2910,-0.24428556566795534,0.8282810887302374,2.3431250803633046,29.9,59.39245565544368,28.157217316061065,12.478560114221782,False
26059099999,KINGISEPP,Russia,2908,0.24120242448095766,0.7719779385555299,2.6353545381626318,19.0,59.37374116327656,28.643897448184305,38.30538994417352,False
26063099999,PULKOVO,Russia,2916,0.8229556257669163,1.4404265571769137,2.038807234093115,24.1,59.78810013836213,30.289965370286325,13.552289727053743,False
26067099999,VOLOSOVO,Russia,4,-1.749104309082031,1.9053692655426029,2.3484251269716534,129.0,59.45265515864857,29.48654873855168,52.449425305529545,False
26069099999,BELOGORKA,Russia,2900,-0.1591770819302263,0.7701005424770013,0.573352575215791,90.0,59.35457040760078,30.128639244723477,58.60308939416074,False
26072099999,SHLISSEL'BURG,Russia,2910,-0.04466374243247957,0.7363447892559417,0.5899410752080447,17.0,59.93334149358149,30.98960492049329,3.610416617705586,True
26078099999,LJUBAN',Russia,2851,-0.011380271416553388,0.6960184297625742,1.9902074044335611,39.0,59.334067220630345,31.218142652650613,66.01495839910721,False
