sid,n,era5,cerra,headroom,name,country,elev,offset_km,era5_offset_km
02798099999,2912.0,1.001106973794349,0.7298497461135441,0.27125722768080485,VALTIMO KK,Finland,115.0,2.71448490215758,10.427895507445992
02830099999,2914.0,0.8706021419751598,0.8745726477663535,-0.003970505791193624,KOUVOLA ANJALA,Finland,33.0,2.656002149602985,6.776293289807737
02831099999,2913.0,1.594618942710384,1.3055758049624469,0.2890431377479372,VIROLAHTI KOIVUNIEMI,Finland,5.0,1.604365743416515,5.948235565204279
02832099999,2898.0,1.2921912921150163,0.9092389292202009,0.3829523628948154,TOHMAJARVI KEMIE,Finland,90.0,2.613755004256358,5.655499787372206
02834099999,2916.0,1.3714449274117153,0.9601617451473231,0.4112831822643922,VIEREMA KAARAKKALA,Finland,207.6,1.9394636888215728,9.68447306903472
02917099999,2881.0,0.9546578991073771,0.6540927823003001,0.300565116807077,KUOPIO,Finland,98.5,0.8930999026862467,2.619752272811708
02919099999,2916.0,1.155346854476218,0.844288647812533,0.311058206663685,LAPPEENRANTA HIEKKAPAKKA,Finland,77.0,1.7886473196247443,5.958647247669825
02929099999,2857.0,0.9399567833456275,0.8112002601292947,0.1287565232163328,JOENSUU,Finland,121.3,1.9648694226921892,11.443309480003752
02939099999,2907.0,1.002603518607539,0.7862642109917348,0.21633930761580422,ILOMANTSI MEKRIJARVI,Finland,156.5,1.6814394158252586,2.137699667406744
02947099999,2911.0,1.3431331035442486,0.8820206653056941,0.4611124382385545,MIKKELI,Finland,100.3,2.1132485487979213,7.622870606294048
02948099999,2877.0,1.2494442007766757,0.7553008505485284,0.49414335022814737,SAVONLINNA,Finland,94.8,2.563329424181601,7.130549291527431
02958099999,2889.0,0.9074310868047312,0.6739110973056487,0.23351998949908248,LAPPEENRANTA,Finland,106.4,1.7574106126601303,7.748938502956089
02966099999,2865.0,0.8451683488624446,0.640895135995474,0.20427321286697064,UTTI,Finland,103.3,1.9566328966240976,12.283755964919573
