USAF,WBAN,name,country,lat,lon,elev,BEGIN,END,in_target,role,in_original_144
226480,99999,TURCASOVO,Russia,63.117,39.233,34.0,1959-01-01,2025-08-24,False,input_crop_only,True
274020,99999,TVER',Russia,56.883,35.867,137.0,1946-01-01,2025-08-24,False,input_crop_only,True
273210,99999,UGLIC,Russia,57.5,38.3,122.0,1932-01-01,2025-08-20,False,input_crop_only,True
225410,99999,UNSKIJ MAJAK,Russia,64.833,38.4,5.0,1959-01-01,2025-08-24,False,input_crop_only,True
278210,99999,UZLOVAJA,Russia,54.0,38.133,231.0,2003-10-11,2025-08-23,False,input_crop_only,False
228670,99999,VEL'SK,Russia,61.083,42.067,91.0,1932-01-01,2025-08-24,False,input_crop_only,True
264770,99999,VELIKIE LUKI,Russia,56.35,30.62,106.0,1932-01-01,2025-08-24,False,input_crop_only,True
265780,99999,VELIZH,Russia,55.617,31.183,166.0,1959-08-03,2025-08-04,False,input_crop_only,True
227780,99999,VERHNJAJA TOJMA,Russia,62.233,45.017,58.0,1959-01-01,2025-08-24,False,input_crop_only,True
266950,99999,VJAZ'MA,Russia,55.167,34.4,251.0,1946-01-01,2025-08-05,False,input_crop_only,True
275185,99999,VNUKOVO,Russia,55.592,37.261,208.8,1973-01-01,2025-08-24,False,input_crop_only,True
270370,99999,VOLOGDA,Russia,59.233,39.867,131.0,1932-01-01,2025-08-24,False,input_crop_only,True
229540,99999,VOZEGA,Russia,60.467,40.2,202.0,1948-01-01,2025-08-24,False,input_crop_only,True
224380,99999,ZIZGIN,Russia,65.2,36.817,17.0,1955-07-01,2025-08-24,False,input_crop_only,True
022970,99999,BJUROKLUBB,Sweden,64.483,21.583,43.0,2001-06-01,2025-08-19,False,input_crop_only,False
025870,99999,FAROSUND-AR,Sweden,57.917,18.95,13.0,2001-07-01,2025-08-23,False,input_crop_only,False
025890,99999,GOTSKA SANDON,Sweden,58.4,19.2,17.0,2001-07-01,2024-09-26,False,input_crop_only,False
021970,99999,HAPARANDA,Sweden,65.817,24.117,16.0,2008-10-27,2025-08-06,False,input_crop_only,False
022870,99999,HOLMON,Sweden,63.8,20.867,8.0,2005-07-24,2025-08-21,False,input_crop_only,False
021860,99999,KALLAX / LULEA,Sweden,65.544,22.122,19.8,1977-07-01,2025-08-24,False,input_crop_only,False
028630,99999,KEMI I LIGHTHOUSE,Sweden,65.383,24.1,19.0,2004-02-13,2025-08-24,False,input_crop_only,False
021850,99999,LULEA-KALLAX,Sweden,65.55,22.133,34.0,2001-04-02,2024-10-09,False,input_crop_only,False
025980,99999,OSTERGARNSHOLM,Sweden,57.433,18.983,5.0,2001-07-01,2025-06-03,False,input_crop_only,False
021810,99999,OVERKALIX SVARTBYN,Sweden,66.267,22.85,62.0,1996-08-01,2025-08-17,False,input_crop_only,False
021840,99999,PAHAROVA,Sweden,66.817,22.333,229.0,2001-07-01,2025-02-05,False,input_crop_only,False
021760,99999,PITE-RONNSKAR,Sweden,65.033,21.567,4.0,1997-09-01,2025-07-25,False,input_crop_only,False
021880,99999,RODKALLEN,Sweden,65.317,22.383,2.0,1973-01-01,2025-08-17,False,input_crop_only,False
021910,99999,STORON,Sweden,65.7,23.1,4.0,2001-07-01,2025-07-24,False,input_crop_only,False
021990,99999,YLINENJARVI,Sweden,66.617,23.467,132.0,2001-07-01,2025-07-29,False,input_crop_only,False
027410,99999,JOMALA JOMLABY,Åland,60.183,19.983,11.0,2008-01-16,2025-08-24,False,input_crop_only,False
029790,99999,KOKAR BOGSKAR,Åland,59.5,20.35,16.0,2004-08-03,2025-03-21,False,input_crop_only,False
027900,99999,KUMLINGE KK,Åland,60.25,20.75,22.5,2003-03-30,2025-08-24,False,input_crop_only,False
029800,99999,LEMLAND NYHAMN,Åland,59.967,19.95,10.0,1973-01-01,2025-08-24,False,input_crop_only,False
029700,99999,MARIEHAMN,Åland,60.122,19.898,5.2,1917-01-01,2025-08-24,False,input_crop_only,False
261440,99999,JOGEVA,Estonia,58.75,26.417,71.0,2001-09-19,2025-08-24,True,target,False
260460,99999,JOHVI,Estonia,59.333,27.383,75.0,1959-01-01,2025-08-24,True,target,False
260450,99999,KUNDA,Estonia,59.517,26.55,3.0,1959-01-01,2025-08-24,True,target,False
261340,99999,KUUSIKU,Estonia,58.967,24.733,52.0,1969-01-01,2025-08-24,True,target,False
260380,99999,LENNART MERI TALLINN,Estonia,59.413,24.833,39.9,1953-02-16,2025-08-24,True,target,False
260580,99999,NARVA-JOESUU,Estonia,59.389,28.117,29.9,1959-01-01,2025-08-24,True,target,False
