sid,name,country,lat,lon,elev,y_idx,x_idx,cell_lat,cell_lon,offset_km,fold
02796099999,LIEKSA LAMPELA,Finland,63.317,30.05,98.0,116,30,63.3175593826662,30.0034372132032,2.3979970968979267,3
02793099999,LIPERI TUISKAVANLUOTO,Finland,62.55,29.667,79.5,100,32,62.55347945126279,29.71874532344691,2.7533906360221416,3
02992099999,LOVIISA ORRENGRUND,Finland,60.283,26.45,3.5,46,13,60.27744977159153,26.417694694657314,1.9182601531477912,1
02947099999,MIKKELI,Finland,61.687,27.202,100.3,76,13,61.685904314058725,27.16291373308846,2.1132485487979213,1
02734099999,PARIKKALA KOITSANLAHTI,Finland,61.45,29.467,75.0,77,36,61.43425814986083,29.44020858739532,2.3069716297619154,3
02991099999,PORVOO EMASALO,Finland,60.2,25.633,27.1,43,6,60.21717224252934,25.681738944171485,3.3587813556224364,1
02759099999,PORVOO HARABACKA,Finland,60.4,25.6,23.5,46,4,60.3816179190732,25.55967730640387,3.06901317002892,1
02987099999,PORVOO KALLBADAGRUND,Finland,59.983,25.6,23.3,38,6,59.980740029177575,25.56786119848732,1.8355342424473335,1
02772099999,RANTASALMI RUKKASLUOTO,Finland,62.067,28.567,80.0,87,24,62.059184169383784,28.545959293780527,1.433853078892551,3
02789099999,RAUTAVAARA YLA-LUOSTA,Finland,63.383,28.667,165.5,114,18,63.38764990019691,28.711783371104303,2.3618505639676957,3
02948099999,SAVONLINNA,Finland,61.943,28.945,94.8,86,28,61.95993297466724,28.913488598810062,2.563329424181601,3
02778099999,SAVONLINNA PUNKAHARJU,Finland,61.8,29.317,79.5,84,33,61.79985975566585,29.348367540388807,1.687630148463201,3
02832099999,TOHMAJARVI KEMIE,Finland,62.233,30.35,90.0,95,40,62.21096717094945,30.36351947275969,2.6137550042563586,3
02966099999,UTTI,Finland,60.896,26.938,103.3,60,15,60.91195219521625,26.951493252186708,1.9566328966240976,1
02798099999,VALTIMO KK,Finland,63.667,28.833,115.0,120,17,63.67731270650897,28.785050021997876,2.71448490215758,3
02834099999,VIEREMA KAARAKKALA,Finland,63.833,27.217,207.6,119,2,63.82076106444288,27.190666623243573,1.9394636888215726,3
02831099999,VIROLAHTI KOIVUNIEMI,Finland,60.533,27.667,5.0,54,24,60.51899241056316,27.66273752781018,1.604365743416515,1
27008099999,BABAEVO,Russia,59.4,35.9,137.0,59,112,59.40867948143994,35.943293723925024,2.6722273756026196,2
